Module	Feature (22)	Screen (78)
A. Forest Area Management	Quản lý vùng trồng	Danh sách vùng trồng
		Chi tiết thông tin vùng trồng
		Bản đồ vùng rừng (mapview)
		Thông tin hồ sơ pháp lý & Chứng chỉ (FSC/PEFC)
	Quản lý khai thác	Danh sách kế hoạch khai thác
		Chi tiết kế hoạch khai thác
		Danh sách kế hoạch khai thác
		Chi tiết lệnh khai thác
		Báo cáo sản lượng khai thác
	Quản lý nhà cung cấp	Danh sách nhà cung cấp
		Chi tiết thông tin nhà cung cấp
		Lịch sử giao dịch nhà cung cấp
		Báo cáo Ước tính sản lượng
B. Vận chuyển & Trạm cân	Điều phối vận chuyển	Danh sách xe & tài xế
		Thông tin xe - tài xế
		Danh sách Lệnh điều động vận chuyển
		Thông tin vận chuyển
		Lịch điều động vận chuyển
		Tracking lộ trình (realtime - GIS)
	Trạm cân	Màn hình Trạm cân (Kết nối IoT)
		Danh sách Phiếu cân (Inbound/Outbound)
		Thông tin phiếu cân
		Danh sách khách hàng/cung cấp
		Thông tin khách hàng
		Thiết lập bảng giá & Công thức giá
C. Nhà máy & Sản xuất	Nhập kho nguyên liệu	Danh sách Phiếu nguyên liệu đầu vào
		Thông tin phiếu nguyên liệu
	Kế hoạch sản xuất	Thiết lập kế hoạch sản xuất tuần/tháng
		Danh sách kế hoạch/lệnh sản xuất
		Thông tin kế hoạch/lệnh sản xuất
	Quản lý ca & lô sản xuất	Danh sách lô sản xuất/nguyên liệu
		Thông tin lô sản xuất/nguyên liệu
		Lịch & nhật ký sản lượng
		Nhật ký vận hành ca sản xuất
	Xuất hàng	Danh sách phiếu xuất hàng
		Thông tin phiếu xuất (kho/cảng)
	Quản lý chất lượng	Báo cáo kiểm tra độ ẩm & Tạp chất
		Danh sách phiếu kiểm định
		Thông tin Phiếu kiểm định chất lượng thành phẩm (QC)
D. Phương án kinh doanh	Lập phương án (PAB)	Lập Phương án kinh doanh (PAB)
		Phê duyệt phương án kinh doanh (các layer & state)
		Thông tin giao dịch/trạng thái
		Báo cáo PAB
	Hợp đồng & Giá	Danh sách hợp đồng
		Thông tin hợp đồng
	Lệnh mua/thanh toán (PO)	Danh sách phiếu chi & thanh toán
		Thông tin Payment Order (PO)
		Danh sách phiếu tạm ứng
		Phê duyệt tạm ứng
E. Bán hàng & Xuất khẩu	Quản lý bán hàng	Danh sách đơn hàng xuất khẩu
		Quản lý hồ sơ khách hàng (CRM)
	Chứng từ xuất khẩu	Tạo Invoice & Packing List
		Theo dõi lộ trình tàu hàng & Chứng từ tàu
	Kế toán chi phí	Ghi nhận chi phí Logistics & Dịch vụ
F. Tồn kho	Nhập/xuất kho	Danh sách phiếu nhập kho (nguyên liệu/thành phẩm)
		Thông tin phiếu nhập
		Danh sách phiếu xuất kho (nguyên liệu/thành phẩm)
		Thông tin phiếu xuất
	Tồn kho/Kiểm kê	Danh sách SKU
		Thông tin SKU & số lượng
		Lịch kiểm kê
		Danh sách Phiếu kiểm kê kho định kỳ
		Thông tin phiếu kiểm kê
	Chuyển kho/Truy xuất	Danh sách phiếu chuyển kho
		Thông tin phiếu chuyển kho
		Thông tin truy xuất nguồn gốc
G. Quản trị & Nhân sự	Báo cáo quản trị	Dashboard Tổng hợp KPI Nhà máy
		Báo cáo P&L (Lỗ lãi)
		Báo cáo sản xuất
		Báo cáo tồn kho/kiểm kê
		Báo cáo nhập/xuất hàng
		Báo cáo sản lượng/vùng trồng
	Quản lý nhân sự	Danh sách hồ sơ & Hợp đồng nhân sự
		Lịch Chấm công & Tính lương nhân công
		Lệnh điều phố nhân sự cho nhà máy.
	Khiếu nại & Đào tạo	Quản lý đào tạo & An toàn lao động
		Tiếp nhận & Xử lý khiếu nại (Complaints)
		Sắp lịch đào tạo
